model,step,variant,eval_config,subset,accuracy,count,extracted,path
AO,1500,ema,mot,AI2ThorPT2P_dh_midpoint,53.70370370370371,162,141,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0001500_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_dh_midpoint.xlsx
AO,1500,ema,mot,AI2ThorPT2P_td_ego_dir,44.680851063829785,329,320,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0001500_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_dir.xlsx
AO,1500,ema,mot,AI2ThorPT2P_td_ego_dir_arrow,47.18100890207715,337,332,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0001500_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_dir_arrow.xlsx
AO,1500,ema,mot,AI2ThorPT2P_td_ego_side,41.7283950617284,405,388,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0001500_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_side.xlsx
AO,1500,ema,mot,AI2ThorPT2P_td_ego_side_arrow,48.60335195530726,358,348,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0001500_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_ego_side_arrow.xlsx
AO,1500,ema,mot,AI2ThorPT2P_td_midpoint,48.760330578512395,242,222,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0001500_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_midpoint.xlsx
AO,1500,ema,mot,AI2ThorPT2P_td_path,33.64661654135339,532,464,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0001500_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_path.xlsx
AO,1500,ema,mot,AI2ThorPT2P_td_path_arrow,35.09700176366843,567,489,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0001500_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPT2P_td_path_arrow.xlsx
AO,1500,ema,mot,AI2ThorPathTracing,27.383863080684595,409,341,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0001500_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPathTracing.xlsx
AO,1500,ema,mot,AI2ThorPerspective_Arrow,36.054921531302234,278,231,/gpfs/scrubbed/krishna/linjli/bagel_debug_output/tifa_v3_td_path_answer_only/ao_td_path_8gpu/0001500_full_ema/eval/bagel_mot/bagel_mot_AI2ThorPerspective_Arrow.xlsx
